,title,interpret
0,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
1,Easy On Me,Adele
2,Heat Waves,Glass Animals
3,Stay,The Kid LAROI & Justin Bieber
4,Super Gremlin,Kodak Black
5,abcdefu,GAYLE
6,Shivers,Ed Sheeran
7,Surface Pressure,Jessica Darrow
8,Pushin P,Gunna & Future Featuring Young Thug
9,Need To Know,Doja Cat
10,Cold Heart (PNAU Remix),Elton John & Dua Lipa
11,Ghost,Justin Bieber
12,Bad Habits,Ed Sheeran
13,Industry Baby,Lil Nas X & Jack Harlow
14,Thats What I Want,Lil Nas X
15,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
16,Levitating,Dua Lipa
17,Hrs And Hrs,Muni Long
18,Save Your Tears,The Weeknd & Ariana Grande
19,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast"
20,Oh My God,Adele
21,One Right Now,Post Malone & The Weeknd
22,Good 4 U,Olivia Rodrigo
23,Buy Dirt,Jordan Davis Featuring Luke Bryan
24,Better Days,NEIKED X Mae Muller X Polo G
25,I Hate U,SZA
26,Knife Talk,Drake Featuring 21 Savage & Project Pat
27,You Should Probably Leave,Chris Stapleton
28,Fancy Like,Walker Hayes
29,Love Nwantiti (Ah Ah Ah),CKay
30,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
31,Fingers Crossed,Lauren Spencer-Smith
32,Essence,Wizkid Featuring Justin Bieber & Tems
33,Big Energy,Latto
34,Kiss Me More,Doja Cat Featuring SZA
35,You Right,Doja Cat & The Weeknd
36,Woman,Doja Cat
37,Dos Oruguitas,Sebastian Yatra
38,Sand In My Boots,Morgan Wallen
39,Sacrifice,The Weeknd
40,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
41,If I Didn't Love You,Jason Aldean & Carrie Underwood
42,Enemy,Imagine Dragons X JID
43,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
44,'Til You Can't,Cody Johnson
45,Freedom Was A Highway,Jimmie Allen & Brad Paisley
46,One Mississippi,Kane Brown
47,To Be Loved By You,Parker McCollum
48,Light Switch,Charlie Puth
49,Waiting On A Miracle,Stephanie Beatriz
50,Rumors,Gucci Mane Featuring Lil Durk
51,P Power,Gunna Featuring Drake
52,23,Sam Hunt
53,Broadway Girls,Lil Durk Featuring Morgan Wallen
54,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
55,AA,Walker Hayes
56,High,The Chainsmokers
57,Chosen,Blxst & Tyga Featuring Ty Dolla $ign
58,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
59,Heart On Fire,Eric Church
60,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
61,Cold December,Rod Wave
62,Beers On Me,"Dierks Bentley, Breland & HARDY"
63,Whiskey And Rain,Michael Ray
64,For Tonight,Giveon
65,Doin' This,Luke Combs
66,Pressure,Ari Lennox
67,Scorpio,Moneybagg Yo
68,Never Say Never,Cole Swindell / Lainey Wilson
69,Do It To It,Acraze Featuring Cherish
70,I Love You So,The Walters
71,Johnny P's Caddy,Benny The Butcher & J. Cole
72,By Your Side,Rod Wave
73,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast"
74,All Too Well (Taylor's Version),Taylor Swift
75,Too Easy,Gunna & Future
76,Circles Around This Town,Maren Morris
77,Me Or Sum,"Nardo Wick, Lil Baby & Future"
78,Peru,Fireboy DML & Ed Sheeran
79,Beautiful Lies,Yung Bleu & Kehlani
80,Get Into It (Yuh),Doja Cat
81,If I Was A Cowboy,Miranda Lambert
82,No Switch,YoungBoy Never Broke Again
83,Take My Breath,The Weeknd
84,Come Back As A Country Boy,Blake Shelton
85,Shotta Flow 6,NLE Choppa
86,Iffy,Chris Brown
87,Home Sweet,Russell Dickerson
88,Vice City,XXXTENTACION
89,Fair Trade,Drake Featuring Travis Scott
90,Numb Little Bug,Em Beihold
91,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
92,Flower Shops,ERNEST Featuring Morgan Wallen
93,Infinity,Jaymes Young
94,The Motto,Tiesto & Ava Max
95,No Love,Summer Walker & SZA
96,Megan's Piano,Megan Thee Stallion
97,Eazy,The Game & Kanye West
98,Fish Scale,YoungBoy Never Broke Again
99,"Colombia, Mi Encanto",Carlos Vives
